State,Total_Pop,Hispanic,White,Black,Amer_Indian,Asian,Pacific_Islander,Other,Mixed_Race
United States,321004407,56510571,197277789,39445495,2098763,16989540,515522,715432,7451295
Alabama,4850771,198375,3198079,1280946,22589,62100,1461,6988,80233
Alaska,738565,50162,454498,22534,101704,44710,8784,1396,54777
Arizona,6809946,2103523,3786418,276146,266680,207330,12009,8596,149244
Arkansas,2977944,213246,2174326,457251,17002,41896,6979,4283,62961
California,38982847,15105860,14777594,2161459,137813,5427928,138283,93746,1140164
Colorado,5436519,1157200,3731976,209885,28624,161733,7471,10577,129053
Connecticut,3594478,551916,2446049,350820,5201,154910,665,11615,73302
Delaware,943732,84793,594911,201411,2887,36094,201,1831,21604
District of Columbia,672391,71829,241901,315159,1140,25063,241,2194,14864
Florida,20278447,5015015,11124951,3129406,41706,533524,10189,63059,360597
Georgia,10201635,950380,5469446,3150514,18199,386669,4605,28662,193160
Hawaii,1421658,145381,316047,23977,1776,526199,131366,1472,275440
Idaho,1657375,201978,1368118,10658,17902,21937,1979,905,33898
Illinois,12854526,2162070,7955484,1806398,14458,666890,2979,19061,227186
Indiana,6614418,441968,5280583,604249,12148,136671,1993,9179,127627
Iowa,3118102,178294,2697252,104194,8641,70748,2707,2775,53491
Kansas,2903820,334860,2220256,163490,19241,80142,1685,2438,81708
Kentucky,4424376,152072,3764473,348472,8062,59254,2049,4994,85000
Louisiana,4663461,231708,2752253,1490050,24762,80543,1165,7817,75163
Maine,1330158,20427,1244859,16065,7644,14653,232,794,25484
Maryland,5996079,573303,3109275,1754143,11634,370660,2441,17279,157344
Massachusetts,6789319,760177,4952367,453683,8857,424161,1714,48533,139827
Michigan,9925568,484568,7493362,1359208,44263,287881,2347,14204,239735
Minnesota,5490726,284649,4434473,321543,51999,254496,1626,7247,134693
Mississippi,2986220,88261,1702268,1118458,12560,28725,572,2345,33031
Missouri,6075300,244420,4849068,698140,22763,111730,5757,8976,134446
Montana,1029862,36626,891990,4080,64251,7262,537,310,24806
Nebraska,1893921,198300,1512046,87260,13112,41929,1355,2095,37824
Nevada,2887725,814305,1457272,242682,24402,228268,17510,6429,96857
New Hampshire,1331848,45266,1211110,16167,1850,33048,234,1524,22649
New Jersey,8960161,1764520,5023606,1136347,9282,838872,2114,37538,147882
New Mexico,2084828,1004103,795728,37287,181382,28005,956,3915,33452
New York,19798228,3726238,11071563,2842869,45623,1639345,5686,106834,360070
North Carolina,10052564,914792,6397460,2127294,109080,267079,5188,21712,209959
North Dakota,745475,24744,638773,17014,38662,10047,316,704,15215
Ohio,11609756,414490,9243187,1408708,17032,234192,3035,16755,272357
Oklahoma,3896251,394879,2589210,278887,276650,79316,5158,3864,268287
Oregon,4025127,509507,3079995,72636,34905,164546,14524,5519,143495
Pennsylvania,12790505,874833,9881135,1358263,14315,414492,2243,20232,224992
Rhode Island,1056138,153910,773388,57860,3904,35027,695,7201,24153
South Carolina,4893444,267398,3119676,1321219,13464,71123,2776,7566,90222
South Dakota,855444,29901,707282,14292,71127,11639,329,554,20320
Tennessee,6597381,340063,4898888,1099118,15064,109828,3358,8201,122861
Texas,27419612,10673909,11755493,3199022,65883,1222975,20170,39153,443007
Utah,2993941,409311,2365205,31714,28210,66594,26216,4662,62029
Vermont,624636,11183,582404,7534,1852,9638,157,736,11132
Virginia,8365952,749458,5238967,1576081,17533,516080,4609,20582,242642
Washington,7169967,882108,5001482,251603,79825,573457,44465,10627,326400
West Virginia,1836843,27021,1694887,64414,3177,13858,498,3062,29926
Wisconsin,5763217,380590,4715129,359094,45947,151358,1520,4483,105096
Wyoming,583200,56681,491626,5791,11976,4915,373,208,11630
Puerto Rico,3468963,3432611,26416,2720,84,2225,55,1961,2891